region,region_ar,year,metric,value
Aseer,عسير,2023,severe_in_city,
Aseer,عسير,2024,severe_in_city,104
Eastern,المنطقة الشرقية,2020,severe_in_city,
Eastern,المنطقة الشرقية,2021,severe_in_city,
Eastern,المنطقة الشرقية,2022,severe_in_city,
Eastern,المنطقة الشرقية,2023,severe_in_city,
Eastern,المنطقة الشرقية,2024,severe_in_city,998
Hail,حائل,2020,severe_in_city,
Hail,حائل,2021,severe_in_city,
Hail,حائل,2022,severe_in_city,
Hail,حائل,2023,severe_in_city,
Hail,حائل,2024,severe_in_city,115
Jazan,جازان,2020,severe_in_city,
Jazan,جازان,2021,severe_in_city,
Jazan,جازان,2022,severe_in_city,
Jazan,جازان,2023,severe_in_city,
Jazan,جازان,2024,severe_in_city,222
Madinah,المدينة المنورة,2020,severe_in_city,
Madinah,المدينة المنورة,2021,severe_in_city,
Madinah,المدينة المنورة,2022,severe_in_city,
Madinah,المدينة المنورة,2023,severe_in_city,
Madinah,المدينة المنورة,2024,severe_in_city,1126
Makkah,مكة المكرمة,2020,severe_in_city,
Makkah,مكة المكرمة,2021,severe_in_city,
Makkah,مكة المكرمة,2022,severe_in_city,
Makkah,مكة المكرمة,2023,severe_in_city,
Makkah,مكة المكرمة,2024,severe_in_city,3620
Najran,نجران,2020,severe_in_city,
Najran,نجران,2021,severe_in_city,
Najran,نجران,2022,severe_in_city,
Najran,نجران,2023,severe_in_city,
Najran,نجران,2024,severe_in_city,87
Northern Borders,الحدود الشمالية,2020,severe_in_city,
Northern Borders,الحدود الشمالية,2021,severe_in_city,
Northern Borders,الحدود الشمالية,2022,severe_in_city,
Northern Borders,الحدود الشمالية,2023,severe_in_city,
Northern Borders,الحدود الشمالية,2024,severe_in_city,131
Qassim,القصيم,2020,severe_in_city,
Qassim,القصيم,2021,severe_in_city,
Qassim,القصيم,2022,severe_in_city,
Qassim,القصيم,2023,severe_in_city,
Qassim,القصيم,2024,severe_in_city,395
Riyadh,الرياض,2020,severe_in_city,
Riyadh,الرياض,2021,severe_in_city,
Riyadh,الرياض,2022,severe_in_city,
Riyadh,الرياض,2023,severe_in_city,
Riyadh,الرياض,2024,severe_in_city,3150
Tabuk,تبوك,2020,severe_in_city,
Tabuk,تبوك,2021,severe_in_city,
Tabuk,تبوك,2022,severe_in_city,
Tabuk,تبوك,2023,severe_in_city,
Tabuk,تبوك,2024,severe_in_city,207
Al-Baha,الباحة,2020,severe_out_city,
Al-Baha,الباحة,2021,severe_out_city,
Al-Baha,الباحة,2022,severe_out_city,
Al-Baha,الباحة,2023,severe_out_city,
Al-Baha,الباحة,2024,severe_out_city,201
Al-Jouf,الجوف,2020,severe_out_city,
Al-Jouf,الجوف,2021,severe_out_city,
Al-Jouf,الجوف,2022,severe_out_city,
Al-Jouf,الجوف,2023,severe_out_city,
Al-Jouf,الجوف,2024,severe_out_city,43
Aseer,عسير,2020,severe_out_city,
Aseer,عسير,2021,severe_out_city,
Aseer,عسير,2022,severe_out_city,
Aseer,عسير,2023,severe_out_city,
Aseer,عسير,2024,severe_out_city,688
Eastern,المنطقة الشرقية,2020,severe_out_city,
Eastern,المنطقة الشرقية,2021,severe_out_city,
Eastern,المنطقة الشرقية,2022,severe_out_city,
Eastern,المنطقة الشرقية,2023,severe_out_city,
Eastern,المنطقة الشرقية,2024,severe_out_city,724
Hail,حائل,2020,severe_out_city,
Hail,حائل,2021,severe_out_city,
Hail,حائل,2022,severe_out_city,
Hail,حائل,2023,severe_out_city,
Hail,حائل,2024,severe_out_city,88
Jazan,جازان,2020,severe_out_city,
Jazan,جازان,2021,severe_out_city,
Jazan,جازان,2022,severe_out_city,
Jazan,جازان,2023,severe_out_city,
Jazan,جازان,2024,severe_out_city,505
Madinah,المدينة المنورة,2020,severe_out_city,
Madinah,المدينة المنورة,2021,severe_out_city,
Madinah,المدينة المنورة,2022,severe_out_city,
Madinah,المدينة المنورة,2023,severe_out_city,
Madinah,المدينة المنورة,2024,severe_out_city,651
Makkah,مكة المكرمة,2020,severe_out_city,
Makkah,مكة المكرمة,2021,severe_out_city,
Makkah,مكة المكرمة,2022,severe_out_city,
Makkah,مكة المكرمة,2023,severe_out_city,
Makkah,مكة المكرمة,2024,severe_out_city,2205
Najran,نجران,2020,severe_out_city,
Najran,نجران,2021,severe_out_city,
Najran,نجران,2022,severe_out_city,
Najran,نجران,2023,severe_out_city,
Najran,نجران,2024,severe_out_city,108
Northern Borders,الحدود الشمالية,2020,severe_out_city,
Northern Borders,الحدود الشمالية,2021,severe_out_city,
Northern Borders,الحدود الشمالية,2022,severe_out_city,
Northern Borders,الحدود الشمالية,2023,severe_out_city,
Northern Borders,الحدود الشمالية,2024,severe_out_city,47
Qassim,القصيم,2020,severe_out_city,
Qassim,القصيم,2021,severe_out_city,
Qassim,القصيم,2022,severe_out_city,
Qassim,القصيم,2023,severe_out_city,
Qassim,القصيم,2024,severe_out_city,268
Riyadh,الرياض,2020,severe_out_city,
Riyadh,الرياض,2021,severe_out_city,
Riyadh,الرياض,2022,severe_out_city,
Riyadh,الرياض,2023,severe_out_city,
Riyadh,الرياض,2024,severe_out_city,1046
Tabuk,تبوك,2020,severe_out_city,
Tabuk,تبوك,2021,severe_out_city,
Tabuk,تبوك,2022,severe_out_city,
Tabuk,تبوك,2023,severe_out_city,
Tabuk,تبوك,2024,severe_out_city,265
Al-Baha,الباحة,2020,severe_total,
Al-Baha,الباحة,2021,severe_total,388
Al-Baha,الباحة,2022,severe_total,344
Al-Baha,الباحة,2023,severe_total,301
Al-Baha,الباحة,2024,severe_total,347
Al-Jouf,الجوف,2020,severe_total,
Al-Jouf,الجوف,2021,severe_total,321
Al-Jouf,الجوف,2022,severe_total,188
Al-Jouf,الجوف,2023,severe_total,110
Al-Jouf,الجوف,2024,severe_total,134
Aseer,عسير,2020,severe_total,
Aseer,عسير,2021,severe_total,1072
Aseer,عسير,2022,severe_total,927
Aseer,عسير,2023,severe_total,644
Aseer,عسير,2024,severe_total,792
Eastern,المنطقة الشرقية,2020,severe_total,
Eastern,المنطقة الشرقية,2021,severe_total,1636
Eastern,المنطقة الشرقية,2022,severe_total,1862
Eastern,المنطقة الشرقية,2023,severe_total,1734
Eastern,المنطقة الشرقية,2024,severe_total,1722
Hail,حائل,2020,severe_total,
Hail,حائل,2021,severe_total,446
Hail,حائل,2022,severe_total,245
Hail,حائل,2023,severe_total,127
Hail,حائل,2024,severe_total,203
Jazan,جازان,2020,severe_total,
Jazan,جازان,2021,severe_total,1042
Jazan,جازان,2022,severe_total,822
Jazan,جازان,2023,severe_total,752
Jazan,جازان,2024,severe_total,727
Madinah,المدينة المنورة,2020,severe_total,
Madinah,المدينة المنورة,2021,severe_total,1767
Madinah,المدينة المنورة,2022,severe_total,1737
Madinah,المدينة المنورة,2023,severe_total,2068
Madinah,المدينة المنورة,2024,severe_total,1777
Makkah,مكة المكرمة,2020,severe_total,
Makkah,مكة المكرمة,2021,severe_total,5885
Makkah,مكة المكرمة,2022,severe_total,5925
Makkah,مكة المكرمة,2023,severe_total,6139
Makkah,مكة المكرمة,2024,severe_total,5825
Najran,نجران,2020,severe_total,
Najran,نجران,2021,severe_total,414
Najran,نجران,2022,severe_total,194
Najran,نجران,2023,severe_total,98
Najran,نجران,2024,severe_total,195
Northern Borders,الحدود الشمالية,2020,severe_total,
Northern Borders,الحدود الشمالية,2021,severe_total,234
Northern Borders,الحدود الشمالية,2022,severe_total,254
Northern Borders,الحدود الشمالية,2023,severe_total,206
Northern Borders,الحدود الشمالية,2024,severe_total,178
Qassim,القصيم,2020,severe_total,
Qassim,القصيم,2021,severe_total,854
Qassim,القصيم,2022,severe_total,790
Qassim,القصيم,2023,severe_total,695
Qassim,القصيم,2024,severe_total,663
Riyadh,الرياض,2020,severe_total,
Riyadh,الرياض,2021,severe_total,3621
Riyadh,الرياض,2022,severe_total,3303
Riyadh,الرياض,2023,severe_total,3315
Riyadh,الرياض,2024,severe_total,4196
Tabuk,تبوك,2020,severe_total,
Tabuk,تبوك,2021,severe_total,522
Tabuk,تبوك,2022,severe_total,371
Tabuk,تبوك,2023,severe_total,345
Tabuk,تبوك,2024,severe_total,472
Al-Baha,الباحة,2020,vehicles_new,1193
Al-Baha,الباحة,2021,vehicles_new,1325
Al-Baha,الباحة,2022,vehicles_new,1041
Al-Baha,الباحة,2023,vehicles_new,1279
Al-Baha,الباحة,2024,vehicles_new,1577
Al-Jouf,الجوف,2020,vehicles_new,6015
Al-Jouf,الجوف,2021,vehicles_new,8218
Al-Jouf,الجوف,2022,vehicles_new,7597
Al-Jouf,الجوف,2023,vehicles_new,6522
Al-Jouf,الجوف,2024,vehicles_new,5941
Aseer,عسير,2020,vehicles_new,18270
Aseer,عسير,2021,vehicles_new,19880
Aseer,عسير,2022,vehicles_new,15384
Aseer,عسير,2023,vehicles_new,17837
Aseer,عسير,2024,vehicles_new,18679
Eastern,المنطقة الشرقية,2020,vehicles_new,58700
Eastern,المنطقة الشرقية,2021,vehicles_new,73729
Eastern,المنطقة الشرقية,2022,vehicles_new,70952
Eastern,المنطقة الشرقية,2023,vehicles_new,94352
Eastern,المنطقة الشرقية,2024,vehicles_new,106370
Hail,حائل,2020,vehicles_new,4646
Hail,حائل,2021,vehicles_new,4325
Hail,حائل,2022,vehicles_new,3097
Hail,حائل,2023,vehicles_new,4686
Hail,حائل,2024,vehicles_new,7431
Jazan,جازان,2020,vehicles_new,9865
Jazan,جازان,2021,vehicles_new,12080
Jazan,جازان,2022,vehicles_new,10905
